Labour
46.61
42.47
38.36
33.36
47.68
33.28
39.58
40.98
35.17
51.85
34.47
39.71
45.62
34.78
43.47
43.99
45.09
39.96
44.36
41.79
35.66
35.67
43.6
45.58
40
32.94
38.39
38.08
